content_id,title,source,source_url,summary,content_type,topic_tags,target_population,region,publish_time,event_time,expire_at,commercial_level,risk_level,status,operator_note
C001,东湖周末时令菜早市,东湖生活圈,,本周六早上集中展示本地时令蔬菜和生鲜，适合日常买菜居民。,社区活动,买菜生鲜;社区活动,老人家庭;普通家庭,东湖,2026-09-20 09:00,2026-09-26 07:30,2026-09-26 11:30,weak_commercial,low,active,DEMO：东湖自身内容
C002,明天下午强降雨提醒,气象公开信息,,明天下午可能出现较强降雨，建议提前安排出行并注意低洼路段。,天气提醒,天气提醒;交通出行,全部居民,东湖周边,2026-09-20 15:00,2026-09-21 14:00,2026-09-21 20:00,non_commercial,low,active,公共价值内容
C003,周末儿童自然体验活动,社区活动方,,周六上午开展自然观察与手工体验，建议小学阶段儿童在家长陪同下参加。,亲子活动,亲子活动;教育学习,亲子家庭,东湖周边,2026-09-20 10:00,2026-09-26 09:30,2026-09-25 20:00,non_commercial,low,active,DEMO：张姐Before/After核心内容
C004,东湖亲子食育体验,东湖生活圈,,带孩子认识时令蔬菜、体验简单食材处理，面向亲子家庭。,亲子活动,亲子活动;买菜生鲜,亲子家庭,东湖,2026-09-20 11:00,2026-09-27 10:00,2026-09-26 18:00,weak_commercial,low,active,东湖自身内容
C005,东湖商户周末满减促销,东湖商户联合,,部分商户推出周末满减优惠，适合近期有采购计划的居民。,优惠促销,优惠促销;买菜生鲜,普通家庭;老人家庭,东湖,2026-09-20 12:00,2026-09-26 08:00,2026-09-27 20:00,promotion,low,active,DEMO：R009 NO_SEND
C006,社区免费血压测量活动,社区服务点,,周日上午提供免费血压测量和基础健康咨询。,健康活动,健康活动;老人服务,老人家庭,东湖A区,2026-09-20 08:00,2026-09-27 09:00,2026-09-26 20:00,non_commercial,medium,active,健康内容需人工确认表述
C007,东湖便民服务日,东湖生活圈,,集中提供修鞋、磨刀、简单家电咨询等便民服务。,便民信息,便民信息;维修服务,全部居民,东湖,2026-09-20 13:00,2026-09-28 09:00,2026-09-27 18:00,weak_commercial,low,active,东湖自身内容
C008,周一早高峰道路施工提醒,公开交通信息,,周一早高峰附近道路施工，建议通勤居民提前绕行。,交通出行,交通出行;公共服务,全部居民,东湖周边,2026-09-20 14:00,2026-09-21 07:00,2026-09-21 10:00,non_commercial,low,active,
C009,上门空调清洗服务,合作服务商,,提供预约上门空调清洗服务。,家政服务,家政服务,普通家庭,东湖周边,2026-09-18 09:00,,2026-10-31 23:59,service,low,active,需求驱动推荐
C010,小家电维修咨询,合作服务商,,提供电饭煲、电风扇等小家电基础维修咨询。,维修服务,维修服务;便民信息,全部居民,东湖周边,2026-09-18 09:00,,2026-10-31 23:59,service,low,active,
C011,社区羽毛球体验活动,社区活动方,,周末组织轻量羽毛球体验活动，适合年轻人和家庭参与。,运动健身,运动健身;社区活动,年轻上班族;普通家庭,东湖周边,2026-09-19 15:00,2026-09-26 16:00,2026-09-25 22:00,non_commercial,low,active,
C012,周末绘本共读,社区活动方,,面向低龄儿童家庭的绘本共读活动。,亲子活动,亲子活动;教育学习,亲子家庭,东湖周边,2026-09-19 16:00,2026-09-27 15:00,2026-09-26 20:00,non_commercial,low,active,
C013,旧衣回收公益活动,社区志愿者,,周六集中回收可再利用旧衣，倡导环保。,社区活动,社区活动;公共服务,全部居民,东湖A区,2026-09-19 10:00,2026-09-26 09:00,2026-09-25 20:00,non_commercial,low,active,
C014,上周社区讲座回顾,社区活动方,,上周已结束的社区讲座回顾信息。,社区活动,社区活动,全部居民,东湖,2026-09-12 10:00,2026-09-13 14:00,2026-09-13 18:00,non_commercial,low,expired,DEMO：过期内容
C015,周末咖啡小课堂,本地商户,,咖啡基础知识与手冲体验活动。,文化娱乐,文化娱乐;餐饮美食,年轻上班族,东湖周边,2026-09-20 17:00,2026-09-27 14:00,2026-09-26 20:00,weak_commercial,low,active,
